TIM_DAY,CONVERTED_CRD_CONS_PERS_LOAN,CONS_CRD_ORIG_FLAG,CRD_PROP_TNA_MAX,CONS_CRD_QTY_EVER,CONS_CRD_QTY_L30D,CONS_CRD_QTY_L90D,CONS_CRD_QTY_L180D,CONS_CRD_FIRST_ORIG_DATE,CONS_CRD_FIRST_AMT_USD,CONS_CRD_LAST_ORIG_DATE,CONS_CRD_LAST_AMT_USD,CONS_CRD_LAST_REMAINING_CAPITAL_USD,CONS_CRD_ACTIVE_FLAG,CRD_RISK_ANALYSIS_RATING_ID,CRD_RISK_ANALYSIS_SCORE,TOTAL_AMOUNT_ACCOUNT_MP,SCORE_BUREAU_1,RENDA_BUREAU,CONS_PROP_AVAILABLE_AMOUNT_USD,CONS_CRD_ON_QTY_EVER,SCORE_BUREAU_BOAVISTA,CUS_ACT_CRED_CARD_QTY,CUS_ACT_CRED_CARD_PREMIUM_QTY,CUS_ACT_CRED_CARD_GOLD_QTY,CUS_ACT_CRED_CARD_CLASSIC_QTY,CUS_BUYER_TGMV_USD_EVER,CUS_BUYER_TGMV_USD_L30D,CUS_BUYER_TGMV_USD_L60D,CUS_BUYER_TGMV_USD_L90D,CUS_BUYER_TGMV_QTY_ORDERS_EVER,CUS_BUYER_TGMV_QTY_ORDERS_L30D,CUS_BUYER_TGMV_QTY_ORDERS_L60D,CUS_BUYER_TGMV_QTY_ORDERS_L90D,CUS_BUYER_TGMV_QTY_ITEMS_EVER,CUS_BUYER_TGMV_QTY_ITEMS_L30D,CUS_BUYER_TGMV_QTY_ITEMS_L60D,CUS_BUYER_TGMV_QTY_ITEMS_L90D
25/03/2024,TRUE,TRUE,96,77,2,6,14,18/12/2020,24.68,24/03/2024,15.94,15.94,TRUE,A,500,0,579,1550,03.06,19,407,11,3,2,4,10234.43,260.51,435.6,657.19,609,15,29,40,721,15,29,41
25/03/2024,TRUE,TRUE,45,77,1,4,6,6/10/2020,8.67,28/02/2024,31.23,24.99,TRUE,A,500,0,914,23150,141.07,54,701,7,1,2,4,4787.59,45.04,124.59,170.52,164,3,5,8,170,3,5,8
25/03/2024,TRUE,TRUE,84,71,4,6,10,31/12/2020,24.98,24/03/2024,04.03,04.03,TRUE,A,500,0,593,1800,32.81,37,509,13,3,4,4,6016.62,60.69,60.69,124.35,142,3,3,5,149,3,3,5
25/03/2024,TRUE,TRUE,84,69,1,5,11,21/03/2019,45.05,27/02/2024,13.95,13.95,TRUE,A,500,27.62,513,3000,25,40,512,6,0,0,4,2055.72,0,26.35,26.35,101,0,2,2,106,0,2,2
25/03/2024,TRUE,TRUE,81,69,0,1,2,14/04/2019,28.6,26/01/2024,304.21,211.2,TRUE,A,500,389.32,444,25550,338.5,55,559,26,3,3,4,35971.92,990.59,2654.97,3489.79,729,17,46,63,896,22,54,90
25/03/2024,TRUE,TRUE,93,67,1,2,4,12/04/2019,161.75,25/02/2024,262.51,132.33,TRUE,A,529,3727.9,917,2200,260.95,27,505,11,0,2,4,30897.41,487.9,999.48,1002.45,403,6,15,16,500,7,18,19
25/03/2024,TRUE,TRUE,84,66,1,3,9,29/06/2020,45.49,20/03/2024,12,12,TRUE,B,575,807.04,618,1500,433.68,6,538,8,0,1,4,2682.81,12.2,12.2,39.71,48,1,1,3,79,1,1,3
25/03/2024,TRUE,TRUE,69,66,0,2,4,8/11/2020,18.08,15/01/2024,5.18,,FALSE,A,500,0.3,780,1300,330.68,4,597,9,1,2,4,4252.93,0,0,43.65,63,0,0,1,67,0,0,1
25/03/2024,TRUE,TRUE,84,65,4,11,19,12/10/2020,25.43,22/03/2024,06.07,06.07,TRUE,B,524,0,556,1050,131.03,1,565,12,3,3,4,3093.96,81.51,627.44,716.31,63,6,9,13,69,6,9,13
25/03/2024,TRUE,TRUE,69,65,1,3,9,12/01/2021,31.61,24/03/2024,22.39,22.39,TRUE,A,500,0.66,734,1900,236.58,11,557,11,0,3,4,7297.68,200.72,230.48,230.48,129,1,2,2,200,1,4,4
25/03/2024,FALSE,TRUE,84,64,3,7,15,22/11/2021,25.22,18/03/2024,68.71,68.71,TRUE,A,500,0,796,1800,0.16,10,507,7,0,2,4,2445.62,262.84,327.8,327.8,135,6,11,11,142,6,11,11
